平均心率,59
分类,窦性心律
-0.05876,
-0.064978,
-0.070422,
-0.074322,
-0.07633,
-0.076422,
-0.074871,
-0.072462,
-0.070475,
-0.070064,
-0.071633,
-0.074915,
-0.079387,
-0.08426,
-0.088377,
-0.090632,
-0.090607,
-0.088736,
-0.085926,
-0.08317,
-0.081485,
-0.081827,
-0.084615,
-0.089406,
-0.095158,
-0.100826,
-0.105617,
-0.108888,
-0.110354,
-0.110483,
-0.110315,
-0.110806,
-0.112352,
-0.114745,
-0.117219,
-0.118358,
-0.116488,
-0.110743,
-0.101672,
-0.090719,
-0.07942,
-0.06914,
-0.061121,
-0.056151,
-0.05412,
-0.054264,
-0.055745,
-0.057913,
-0.060229,
-0.062265,
-0.063712,
-0.064097,
-0.06241,
-0.057299,
-0.047918,
-0.034606,
-0.018954,
-0.003402,
0.009446,
0.017554,
0.019863,
0.016286,
0.007661,
-0.004248,
-0.017125,
-0.02873,
-0.037353,
-0.042056,
-0.042804,
-0.040404,
-0.036209,
-0.031747,
-0.028513,
-0.027879,
-0.030863,
-0.03772,
-0.047682,
-0.059176,
-0.070417,
-0.079787,
-0.085897,
-0.087771,
-0.085226,
-0.079089,
-0.070934,
-0.062604,
-0.055983,
-0.052784,
-0.054071,
-0.059867,
-0.069141,
-0.080034,
-0.09015,
-0.097279,
-0.100535,
-0.100844,
-0.100125,
-0.100045,
-0.101278,
-0.103324,
-0.104787,
-0.104076,
-0.100169,
-0.092855,
-0.08256,
-0.070231,
-0.0572,
-0.044693,
-0.033212,
-0.02247,
-0.011909,
-0.001223,
0.009486,
0.019909,
0.030014,
0.040633,
0.053723,
0.071912,
0.097403,
0.130821,
0.170461,
0.212206,
0.250239,
0.320758,
0.386826,
0.381924,
0.302943,
0.216708,
0.159612,
0.092633,
0.020118,
-0.05406,
-0.126839,
-0.195775,
-0.258504,
-0.312343,
-0.387505,
-0.418997,
-0.431152,
-0.423755,
-0.372094,
-0.343092,
-0.306749,
-0.267001,
-0.227266,
-0.190031,
-0.156895,
-0.128731,
-0.105666,
-0.087124,
-0.072239,
-0.060238,
-0.050367,
-0.041732,
-0.03353,
-0.025364,
-0.017202,
-0.009183,
-0.001645,
0.004838,
0.009837,
0.013428,
0.016037,
0.018067,
0.01983,
0.021643,
0.023722,
