平均心率,65
分类,窦性心律
0.187614,
0.176358,
0.192946,
0.167661,
0.101327,
0.075852,
-0.028786,
-0.033012,
0.018813,
0.069382,
0.089819,
0.109949,
0.157438,
0.131985,
0.132046,
0.127947,
0.123555,
0.12194,
0.124251,
0.129452,
0.134747,
0.136795,
0.133208,
0.123625,
0.10985,
0.09512,
0.082882,
0.075543,
0.073714,
0.076016,
0.079613,
0.08139,
0.079193,
0.072567,
0.062849,
0.052659,
0.044808,
0.041107,
0.041782,
0.045454,
0.049628,
0.051567,
0.049231,
0.041886,
0.030314,
0.01659,
0.003176,
-0.008178,
-0.016931,
-0.023692,
-0.029925,
-0.037384,
-0.04726,
-0.059507,
-0.072823,
-0.085245,
-0.095018,
-0.101249,
-0.104224,
-0.105485,
-0.107472,
-0.112542,
-0.121864,
-0.135058,
-0.15047,
-0.165733,
-0.178526,
-0.187449,
-0.192456,
-0.194647,
-0.195674,
-0.197043,
-0.19954,
-0.202933,
-0.205989,
-0.20687,
-0.203934,
-0.196516,
-0.185067,
-0.170735,
-0.154895,
-0.138629,
-0.122341,
-0.105651,
-0.087447,
-0.066107,
-0.039971,
-0.007934,
0.030147,
0.072973,
0.117398,
0.158604,
0.19094,
0.286162,
0.305988,
0.283189,
0.190516,
0.093892,
0.027854,
-0.043062,
-0.113727,
-0.18062,
-0.241929,
-0.296987,
-0.34549,
-0.38691,
-0.42038,
-0.444864,
-0.459392,
-0.463438,
-0.457353,
-0.442402,
-0.420408,
-0.393476,
-0.363856,
-0.333625,
-0.304381,
-0.277433,
-0.254123,
-0.235693,
-0.22273,
-0.214807,
-0.210627,
-0.20863,
-0.207409,
-0.205901,
-0.203604,
-0.200742,
-0.197928,
-0.195663,
-0.194227,
-0.19358,
-0.193153,
-0.192036,
-0.189612,
-0.185916,
-0.181545,
-0.177406,
-0.174354,
-0.172773,
-0.172492,
-0.172963,
-0.173521,
-0.173622,
-0.172854,
-0.170832,
-0.167375,
-0.162745,
-0.157485,
-0.152317,
-0.148242,
-0.146355,
-0.147322,
-0.15111,
-0.157136,
-0.164389,
-0.171537,
-0.177279,
-0.180715,
-0.181658,
-0.180619,
-0.17836,
-0.175435,
-0.172173,
-0.168754,
-0.165142,
-0.16124,
-0.157172,
-0.153184,
-0.149338,
-0.145451,
-0.141162,
-0.135971,
-0.129455,
-0.121466,
-0.112109,
-0.101711,
-0.090838,
-0.080067,
-0.06962,
-0.059353,
-0.049211,
-0.039574,
-0.031156,
-0.024664,
-0.020573,
-0.019042,
-0.019801,
-0.021935,
-0.024077,
-0.025072,
-0.024361,
-0.021885,
-0.018005,
-0.013375,
-0.008483,
-0.003203,
0.003103,
0.011127,
0.021208,
0.033096,
0.04595,
0.058463,
0.069094,
0.07645,
0.079788,
0.079324,
0.076153,
0.071995,
0.068663,
0.067418,
0.06877,
0.072773,
0.079146,
0.087115,
0.095581,
0.103564,
0.110374,
0.115527,
0.118695,
0.119855,
0.119365,
0.117848,
0.116028,
0.114697,
0.114729,
0.1168,
0.120989,
0.126811,
0.133506,
0.140071,
0.145293,
0.148142,
0.148126,
0.145238,
0.139658,
0.13149,
0.120759,
0.107623,
0.092466,
0.075743,
0.05791,
0.039603,
0.021668,
0.004979,
-0.009697,
-0.021844,
-0.031594,
-0.039803,
-0.047516,
-0.055433,
-0.063874,
-0.072915,
-0.082361,
-0.091729,
-0.100484,
-0.108268,
-0.114961,
-0.120672,
-0.125713,
-0.130517,
-0.135382,
-0.140234,
-0.144808,
-0.148966,
-0.152565,
-0.155294,
-0.156895,
-0.157243,
-0.156111,
-0.15314,
-0.148046,
-0.140673,
-0.130999,
-0.119434,
-0.106982,
-0.094957,
-0.08461,
-0.07678,
-0.071686,
-0.068972,
-0.067747,
-0.066629,
-0.064199,
-0.059578,
-0.052528,
-0.043313,
-0.032746,
-0.022126,
-0.01278,
-0.005652,
-0.001198,
0.000588,
0.00007,
-0.002113,
-0.005055,
-0.007724,
-0.009251,
-0.009089,
-0.007084,
-0.00361,
0.000499,
0.004475,
0.008028,
0.011352,
0.014917,
0.01924,
0.024573,
0.030788,
0.037456,
0.043924,
0.049428,
0.053262,
0.054915,
0.054258,
0.051703,
0.04802,
0.043904,
0.039862,
0.036394,
0.033932,
0.032618,
0.032305,
0.032695,
0.03336,
0.033822,
0.033676,
0.032649,
0.030714,
0.028156,
0.025517,
0.023484,
0.022786,
0.023982,
0.02713,
0.031751,
0.037149,
0.042654,
0.047613,
0.051316,
0.053102,
0.052625,
0.050054,
0.045985,
0.041193,
0.036543,
0.032794,
0.030313,
0.029032,
0.028642,
0.028609,
0.028117,
0.026398,
0.023138,
0.018582,
0.013376,
0.008284,
0.003884,
0.00052,
-0.001594,
-0.002374,
-0.002024,
-0.001017,
0.000035,
0.00047,
-0.000313,
-0.002602,
-0.006306,
-0.011047,
-0.016264,
-0.021265,
-0.025259,
-0.027483,
-0.027452,
-0.025182,
-0.021103,
-0.015779,
-0.009774,
-0.003659,
0.001979,
0.006558,
0.009615,
0.011066,
0.011251,
0.010669,
0.009788,
0.008999,
0.008472,
0.008041,
0.007375,
0.006234,
0.004471,
0.002019,
-0.001053,
-0.004524,
-0.008001,
-0.010878,
-0.012498,
-0.012361,
-0.01021,
-0.006104,
-0.000553,
0.005554,
0.011141,
0.015109,
0.016613,
0.015391,
0.01181,
0.006638,
0.000833,
-0.004712,
-0.009413,
-0.012947,
-0.015032,
-0.015319,
-0.013433,
-0.00922,
-0.003103,
0.003915,
0.010653,
0.016039,
0.019147,
0.01935,
0.016558,
0.01124,
0.004275,
-0.003198,
-0.010002,
-0.015043,
-0.017339,
-0.016285,
-0.01196,
-0.004984,
0.00374,
0.012895,
0.020756,
0.025814,
0.027432,
0.025931,
0.022267,
0.017748,
0.013866,
0.011985,
0.012912,
0.01665,
0.02261,
0.03,
0.037945,
0.045538,
0.052099,
0.057308,
0.061067,
0.063434,
0.064688,
0.065289,
0.065753,
0.066473,
0.067568,
0.068889,
0.070148,
0.071019,
0.071189,
0.070581,
0.069563,
0.068827,
0.069273,
0.071944,
0.077689,
0.086663,
0.098198,
0.111046,
0.123614,
0.134193,
0.141314,
0.144123,
0.142585,
0.137336,
0.129314,
0.119555,
0.109255,
0.099754,
0.092238,
0.087545,
0.086154,
0.08809,
0.092838,
0.099466,
0.106756,
0.113393,
0.118235,
0.120568,
0.120193,
0.117326,
0.112387,
0.105784,
0.097826,
0.088836,
0.079303,
0.069864,
0.061257,
0.054242,
0.049449,
0.047286,
0.047842,
0.050702,
0.054896,
0.05919,
0.062478,
0.064017,
0.063477,
0.060859,
0.056319,
0.050105,
0.042747,
0.035122,
0.028221,
0.022911,
0.019801,
0.019147,
0.020878,
0.024605,
0.029626,
0.035209,
0.040965,
0.046929,
0.0534,
0.060864,
0.069861,
0.080716,
0.0934,
0.107718,
0.123517,
0.140856,
0.160102,
0.181813,
0.206556,
0.234766,
0.266404,
0.300562,
0.335294,
0.367667,
0.393955,
0.410141,
0.452603,
0.475206,
0.410381,
0.32496,
0.268752,
0.205354,
0.139408,
0.075073,
0.015297,
-0.038447,
-0.085724,
-0.126559,
-0.161063,
-0.189208,
-0.210792,
-0.225553,
-0.233265,
-0.233845,
-0.227439,
-0.214328,
-0.194902,
-0.170043,
-0.141466,
-0.111472,
-0.082453,
-0.056558,
-0.035376,
-0.019576,
-0.008762,
-0.001679,
0.003207,
