平均心率,62
分类,窦性心律
-0.030379,
-0.025567,
-0.016785,
-0.00524,
0.00777,
0.020737,
0.032059,
0.040684,
0.046613,
0.050812,
0.054786,
0.060047,
0.067318,
0.075943,
0.084074,
0.089543,
0.090787,
0.08726,
0.079511,
0.069146,
0.058472,
0.049746,
0.044402,
0.042676,
0.043687,
0.04576,
0.047005,
0.046056,
0.042509,
0.036812,
0.029851,
0.022532,
0.01554,
0.009144,
0.003076,
-0.003263,
-0.010316,
-0.017992,
-0.025614,
-0.032172,
-0.036585,
-0.037996,
-0.036137,
-0.031423,
-0.024708,
-0.017003,
-0.009323,
-0.002568,
0.002642,
0.005983,
0.007229,
0.006149,
0.002676,
-0.002853,
-0.009656,
-0.016579,
-0.022209,
-0.02515,
-0.024458,
-0.019762,
-0.010931,
0.002094,
0.01903,
0.038953,
0.060423,
0.081969,
0.102541,
0.121726,
0.139768,
0.157465,
0.17601,
0.196707,
0.220507,
0.247576,
0.276856,
0.305599,
0.329387,
0.375756,
0.386382,
0.405537,
0.365862,
0.236868,
0.175623,
0.109587,
0.044242,
-0.01621,
-0.069425,
-0.114961,
-0.153856,
-0.187745,
-0.217809,
-0.244075,
-0.26536,
-0.279707,
-0.285222,
-0.280954,
-0.267256,
-0.245521,
-0.217741,
-0.186266,
-0.153589,
-0.121979,
-0.093251,
-0.068752,
-0.049262,
-0.034783,
-0.024572,
-0.017533,
-0.012554,
-0.008578,
-0.004604,
0.00009,
0.00563,
0.01156,
0.017196,
0.022033,
0.025905,
0.028955,
0.031409,
0.033363,
0.034752,
0.035497,
0.035674,
0.035615,
0.035825,
0.03675,
0.038609,
0.041528,
0.045649,
0.05097,
0.057234,
0.063996,
0.07058,
0.076104,
0.079751,
0.081033,
0.079918,
0.076894,
0.07308,
0.070009,
0.068924,
0.070155,
0.073157,
0.076964,
0.080531,
0.082911,
0.083556,
0.082586,
0.080614,
0.078359,
0.076508,
0.075585,
0.075643,
0.076375,
0.077637,
0.079686,
0.082858,
0.087217,
0.092544,
0.098443,
0.104364,
0.109752,
0.114275,
0.117785,
0.120155,
0.121324,
0.121547,
0.121507,
0.12198,
0.123417,
0.125883,
0.129159,
0.132763,
0.136129,
0.138955,
0.141474,
0.144277,
0.147917,
0.152695,
0.158621,
0.165399,
0.172496,
0.179402,
0.185865,
0.191911,
0.197755,
0.20374,
0.210309,
0.217871,
0.226535,
0.23604,
0.245904,
0.25546,
0.263879,
0.270389,
0.274485,
0.276028,
0.275241,
0.272752,
0.269667,
0.267395,
0.267157,
0.269502,
0.274182,
0.280354,
0.286835,
0.29235,
0.295929,
0.297154,
0.295971,
0.292549,
0.287431,
0.281519,
0.275703,
0.270562,
0.266349,
0.263112,
0.260706,
0.258741,
0.256606,
0.253561,
0.248949,
0.242425,
0.234069,
0.224302,
0.213646,
0.20254,
0.191319,
0.180152,
0.168945,
0.157468,
0.145502,
0.132989,
0.120319,
0.108381,
0.098213,
0.090483,
0.085213,
0.081844,
0.079387,
0.07666,
0.072666,
0.066834,
0.059064,
0.04963,
0.039076,
0.028119,
0.017405,
0.007259,
-0.002244,
-0.011072,
-0.019147,
-0.026375,
-0.032653,
-0.037789,
-0.041611,
-0.044189,
-0.045857,
-0.047061,
-0.048215,
-0.049516,
-0.050727,
-0.051247,
-0.050521,
-0.048422,
-0.045337,
-0.042031,
-0.039384,
-0.03808,
-0.038388,
-0.040156,
-0.042984,
-0.04635,
-0.049682,
-0.052569,
-0.054987,
-0.057231,
-0.059569,
-0.062003,
-0.064272,
-0.065951,
-0.066682,
-0.066486,
-0.065805,
-0.065099,
-0.064472,
-0.063675,
-0.06228,
-0.059776,
-0.055731,
-0.050038,
-0.043051,
-0.035478,
-0.028205,
-0.022199,
-0.01828,
-0.016843,
-0.017781,
-0.020629,
-0.024793,
-0.029689,
-0.034726,
-0.039366,
-0.043262,
-0.046326,
-0.048768,
-0.051107,
-0.053976,
-0.057758,
-0.062356,
-0.067231,
-0.07169,
-0.075219,
-0.077502,
-0.078254,
-0.077376,
-0.075217,
-0.072456,
-0.069692,
-0.067338,
-0.065706,
-0.064884,
-0.064665,
-0.064835,
-0.065416,
-0.066516,
-0.068016,
-0.069606,
-0.071154,
-0.072845,
-0.074892,
-0.0773,
-0.079896,
-0.082344,
-0.08409,
-0.084502,
-0.083203,
-0.08031,
-0.076438,
-0.072527,
-0.069554,
-0.068215,
-0.068779,
-0.071089,
-0.074639,
-0.078774,
-0.082893,
-0.086492,
-0.089129,
-0.09052,
-0.090667,
-0.08976,
-0.087996,
-0.08566,
-0.083376,
-0.081951,
-0.08193,
-0.08338,
-0.086152,
-0.090079,
-0.094757,
-0.099414,
-0.103278,
-0.105899,
-0.106998,
-0.10634,
-0.104071,
-0.10087,
-0.097508,
-0.09451,
-0.092395,
-0.091867,
-0.093485,
-0.097255,
-0.102735,
-0.109402,
-0.116627,
-0.123491,
-0.128934,
-0.132149,
-0.132731,
-0.130638,
-0.126312,
-0.120804,
-0.115452,
-0.111352,
-0.109154,
-0.109112,
-0.111017,
-0.114089,
-0.117218,
-0.119631,
-0.121326,
-0.122809,
-0.124568,
-0.126891,
-0.129892,
-0.133369,
-0.13675,
-0.139444,
-0.141239,
-0.142223,
-0.142558,
-0.142472,
-0.142205,
-0.14177,
-0.14087,
-0.139181,
-0.136624,
-0.133274,
-0.129177,
-0.124439,
-0.119407,
-0.114652,
-0.110822,
-0.108559,
-0.108495,
-0.111132,
-0.116782,
-0.125599,
-0.137375,
-0.15116,
-0.165262,
-0.177784,
-0.187253,
-0.192906,
-0.194695,
-0.193164,
-0.18919,
-0.18374,
-0.177781,
-0.172241,
-0.167896,
-0.16515,
-0.16385,
-0.163438,
-0.163271,
-0.162799,
-0.161638,
-0.159718,
-0.157419,
-0.15545,
-0.15453,
-0.15515,
-0.157421,
-0.160985,
-0.16503,
-0.168408,
-0.16996,
-0.168997,
-0.165573,
-0.160471,
-0.154868,
-0.149906,
-0.146433,
-0.144979,
-0.145832,
-0.149006,
-0.154175,
-0.160881,
-0.168679,
-0.177003,
-0.185158,
-0.192512,
-0.19863,
-0.203263,
-0.206255,
-0.207534,
-0.207171,
-0.20533,
-0.202203,
-0.198032,
-0.193208,
-0.188327,
-0.184083,
-0.181061,
-0.179597,
-0.179681,
-0.180972,
-0.182958,
-0.185108,
-0.186956,
-0.188223,
-0.188921,
-0.189219,
-0.189193,
-0.188856,
-0.188447,
-0.188498,
-0.189587,
-0.192057,
-0.195929,
-0.200931,
-0.206542,
-0.212003,
-0.216443,
-0.219053,
-0.219245,
-0.216693,
-0.211302,
-0.203296,
-0.193298,
-0.182235,
-0.171083,
-0.160667,
-0.151702,
-0.144796,
-0.140238,
-0.13785,
-0.137126,
-0.137475,
-0.138391,
-0.139371,
-0.140312,
-0.141628,
-0.143427,
-0.145867,
-0.149139,
-0.153191,
-0.157614,
-0.161794,
-0.165052,
-0.16678,
-0.166785,
-0.165493,
-0.163764,
-0.162561,
-0.162687,
-0.164628,
-0.168487,
-0.173987,
-0.180623,
-0.18796,
-0.195836,
-0.204427,
-0.214062,
-0.224832,
-0.236162,
-0.24673,
-0.254942,
-0.259555,
-0.260036,
-0.256695,
-0.250656,
-0.243567,
-0.237084,
-0.232367,
-0.229917,
-0.229781,
-0.231792,
-0.235686,
-0.241204,
-0.248211,
-0.256581,
-0.26572,
-0.274423,
-0.281324,
-0.285414,
-0.286082,
-0.283002,
-0.276238,
-0.266315,
-0.253977,
-0.239907,
-0.224548,
-0.208117,
-0.190687,
-0.172242,
-0.152792,
-0.132437,
-0.111184,
-0.088631,
-0.063902,
-0.036094,
-0.005073,
0.02775,
0.059043,
0.083973,
0.135539,
0.189015,
0.182998,
0.120716,
-0.025411,
-0.093871,
-0.167876,
-0.241684,
-0.310696,
-0.372269,
-0.42579,
-0.47181,
-0.51094,
-0.543284,
-0.568489,
-0.586117,
-0.59604,
-0.598603,
-0.594485,
-0.584333,
-0.568619,
-0.547928,
-0.523299,
-0.496123,
-0.467789,
-0.439516,
-0.412387,
-0.387312,
-0.365047,
-0.346244,
-0.331232,
-0.319881,
-0.311783,
-0.306466,
-0.303426,
-0.302157,
-0.302154,
-0.302918,
-0.303863,
-0.304454,
-0.304457,
-0.303872,
-0.302577,
-0.300166,
-0.296164,
-0.290436,
-0.283345,
-0.275647,
-0.26836,
-0.262467,
-0.258566,
-0.256864,
-0.257402,
-0.260148,
-0.26484,
-0.270776,
-0.276797,
-0.281422,
-0.282995,
-0.279921,
-0.270884,
-0.255099,
-0.232575,
-0.204108,
-0.171109,
-0.135427,
-0.098994,
-0.063264,
-0.028904,
0.004083,
0.036032,
0.067395,
0.098485,
0.129216,
0.159079,
0.187347,
0.213347,
0.23661,
0.256894,
0.274298,
0.289353,
0.302831,
0.315411,
0.327408,
0.338692,
0.348843,
0.357405,
0.364097,
0.368949,
0.372312,
0.374764,
0.376967,
0.379634,
0.38347,
0.388927,
0.395964,
0.404163,
0.412982,
0.421874,
0.430383,
0.438336,
0.445892,
0.453393,
0.461236,
0.46976,
0.479027,
0.488605,
0.497604,
0.505071,
0.510344,
0.513178,
0.513783,
0.512766,
0.510892,
0.508842,
0.507138,
0.506257,
0.506597,
0.508171,
0.510509,
0.512885,
0.514477,
0.514354,
0.51172,
0.506433,
0.499314,
0.491912,
0.486082,
0.483571,
0.485458,
0.491647,
0.50089,
0.511379,
0.521378,
0.529544,
0.535014,
0.537483,
0.537057,
0.533949,
0.528404,
0.520852,
0.511853,
0.501893,
0.491476,
0.481289,
0.471896,
0.463344,
