平均心率,60
分类,窦性心律
-1.259262,
-1.256889,
-1.253493,
-1.252289,
-1.223577,
-1.266405,
-1.281551,
-1.298119,
-1.311663,
-1.352723,
-1.316692,
-1.307616,
-1.294914,
-1.283548,
-1.245603,
-1.279649,
-1.288214,
-1.300011,
-1.310317,
-1.349272,
-1.343186,
-1.300804,
-1.285517,
-1.269772,
-1.257168,
-1.249462,
-1.24605,
-1.244358,
-1.24091,
-1.232677,
-1.21824,
-1.198298,
-1.175338,
-1.152696,
-1.133425,
-1.119404,
-1.11085,
-1.106376,
-1.103702,
-1.100645,
-1.095993,
-1.089843,
-1.083431,
-1.078557,
-1.076815,
-1.078819,
-1.083664,
-1.08895,
-1.091596,
-1.088999,
-1.079907,
-1.064932,
-1.046467,
-1.027909,
-1.012373,
-1.001617,
-0.995557,
-0.992534,
-0.990104,
-0.986012,
-0.979194,
-0.970388,
-0.961974,
-0.956898,
-0.95728,
-0.963551,
-0.97438,
-0.986962,
-0.997597,
-1.002374,
-0.997697,
-0.980454,
-0.948004,
-0.934095,
-0.873084,
-0.7895,
-0.681562,
-0.527437,
-0.402301,
-0.273416,
-0.147151,
0.002882,
0.112701,
0.202297,
0.269268,
0.314103,
0.31995,
0.348616,
0.37063,
0.388673,
0.403943,
0.415841,
0.422295,
0.420628,
0.440338,
0.386505,
0.355629,
0.320057,
0.284607,
0.253605,
0.198896,
0.213231,
0.202255,
0.193338,
0.182947,
0.16897,
0.151496,
0.132619,
0.115534,
0.103318,
0.097724,
0.098319,
0.102559,
0.106805,
0.107724,
0.103403,
0.093901,
0.081041,
0.067527,
0.055809,
0.047073,
0.040734,
0.034669,
0.026109,
0.012708,
-0.006515,
-0.03069,
-0.057305,
-0.083122,
-0.10553,
-0.123532,
-0.137882,
-0.15059,
-0.164337,
-0.181668,
-0.203984,
-0.230883,
-0.260355,
-0.289566,
-0.315724,
-0.337038,
-0.3536,
-0.367623,
-0.382454,
-0.401034,
-0.424849,
-0.45369,
-0.485837,
-0.518635,
-0.549474,
-0.576819,
-0.600762,
-0.622915,
-0.645805,
-0.67179,
-0.701943,
-0.735348,
-0.769239,
-0.800184,
-0.825582,
