平均心率,60
分类,窦性心律
0.801578,
0.800623,
0.799017,
0.797072,
0.794839,
0.792029,
0.788081,
0.782295,
0.774006,
0.762885,
0.749234,
0.733989,
0.718286,
0.702918,
0.688189,
0.67416,
0.660764,
0.647845,
0.635477,
0.624293,
0.615258,
0.60899,
0.60534,
0.60354,
0.602477,
0.600767,
0.597017,
0.590403,
0.581029,
0.569819,
0.558097,
0.547147,
0.537895,
0.530684,
0.525169,
0.520426,
0.515199,
0.508281,
0.498811,
0.486446,
0.471501,
0.455003,
0.438449,
0.423337,
0.410803,
0.401581,
0.39615,
0.394684,
0.396823,
0.401772,
0.40862,
0.416515,
0.42456,
0.431635,
0.436479,
0.438021,
0.43569,
0.42945,
0.419648,
0.406924,
0.392208,
0.376583,
0.361071,
0.34655,
0.333681,
0.322726,
0.313438,
0.305347,
0.298259,
0.292378,
0.287819,
0.28423,
0.281056,
0.277826,
0.27396,
0.268593,
0.260894,
0.250447,
0.237216,
0.221339,
0.203268,
0.1839,
0.164321,
0.145413,
0.127795,
0.112042,
0.098755,
0.088294,
0.08064,
0.075606,
0.073017,
0.072624,
0.073932,
0.076233,
0.078738,
0.080551,
0.080672,
0.07831,
0.073246,
0.065956,
0.057331,
0.048363,
0.040048,
0.033241,
0.028431,
0.02576,
0.025229,
0.026789,
0.030257,
0.035355,
0.041921,
0.050027,
0.059989,
0.072369,
0.08792,
0.107387,
0.131137,
0.158833,
0.189482,
0.221563,
0.252967,
0.280849,
0.301643,
0.311434,
0.343797,
0.33129,
0.332096,
0.261923,
0.129313,
0.056527,
-0.018678,
-0.091866,
-0.159805,
-0.220549,
-0.273328,
-0.318219,
-0.355471,
-0.384749,
-0.40507,
-0.415558,
-0.416073,
-0.40726,
-0.390437,
-0.367592,
-0.341168,
-0.313651,
-0.287233,
-0.263638,
-0.244004,
-0.228756,
-0.217553,
-0.209429,
-0.203086,
-0.197149,
-0.190496,
-0.18258,
-0.173456,
-0.163572,
-0.153657,
-0.144602,
-0.137181,
-0.131816,
-0.128567,
-0.127334,
-0.1279,
-0.129881,
-0.132827,
-0.136443,
-0.140702,
-0.145609,
-0.150926,
-0.156261,
-0.161167,
-0.165002,
-0.166938,
-0.166283,
-0.162771,
-0.15653,
-0.147971,
-0.137956,
-0.127856,
-0.119035,
-0.112226,
-0.107411,
-0.104155,
-0.101959,
-0.100377,
-0.099115,
-0.098181,
-0.097721,
-0.09781,
-0.098436,
-0.099569,
-0.101114,
-0.102822,
-0.104352,
-0.10541,
-0.105783,
-0.105357,
-0.104117,
-0.101941,
-0.098514,
-0.093615,
-0.08744,
-0.080467,
-0.073142,
-0.065868,
-0.059198,
-0.053756,
-0.04997,
-0.048001,
-0.047691,
-0.048472,
-0.049412,
-0.049466,
-0.047722,
-0.043587,
-0.036919,
-0.028167,
-0.01823,
-0.008098,
0.001341,
0.009265,
0.015103,
0.018921,
0.021406,
0.023439,
0.025811,
0.029183,
0.03406,
0.040667,
0.048891,
0.0583,
0.068185,
0.077739,
0.086261,
0.093296,
0.098837,
0.103324,
0.107241,
0.110677,
0.113329,
0.114926,
0.115488,
0.115098,
0.113681,
0.111146,
0.107617,
0.103505,
0.099398,
0.095957,
0.093869,
0.091696,
0.09099,
0.092184,
0.094888,
0.098399,
0.101677,
0.103525,
0.102877,
0.099074,
0.092084,
0.0825,
0.071205,
0.05902,
0.046559,
0.034247,
0.022383,
0.011158,
0.000559,
-0.009634,
-0.019583,
-0.02925,
-0.038479,
-0.047103,
-0.055061,
-0.062567,
-0.070113,
-0.078289,
-0.087561,
-0.098128,
-0.109917,
-0.122606,
-0.1356,
-0.148003,
-0.158798,
-0.167127,
-0.172532,
-0.175123,
-0.175667,
-0.175374,
-0.175477,
-0.177038,
-0.180961,
-0.18783,
-0.197703,
-0.210044,
-0.223761,
-0.237349,
-0.249149,
-0.257653,
-0.261835,
-0.261467,
-0.257173,
-0.250108,
-0.241573,
-0.23293,
-0.225506,
-0.220217,
-0.217223,
-0.216107,
-0.216448,
-0.218128,
-0.221174,
-0.225635,
-0.231631,
-0.23923,
-0.248093,
-0.257414,
-0.266251,
-0.2737,
-0.278799,
-0.280733,
-0.279187,
-0.274319,
-0.266501,
-0.256389,
-0.245127,
-0.234206,
-0.225072,
-0.218826,
-0.216006,
-0.216435,
-0.219237,
-0.223211,
-0.227366,
-0.23116,
-0.234422,
-0.237276,
-0.240085,
-0.243237,
-0.246828,
-0.250481,
