平均心率,69
分类,窦性心律
-0.696296,
-0.698388,
-0.702059,
-0.706427,
-0.710494,
-0.713296,
-0.713981,
-0.711983,
-0.707224,
-0.700157,
-0.691756,
-0.683293,
-0.675747,
-0.669297,
-0.663433,
-0.657406,
-0.650594,
-0.642732,
-0.634066,
-0.625318,
-0.617389,
-0.610919,
-0.606054,
-0.602626,
-0.600369,
-0.598874,
-0.597551,
-0.595792,
-0.593134,
-0.589301,
-0.584222,
-0.578034,
-0.571003,
-0.563394,
-0.555401,
-0.547123,
-0.538601,
-0.529983,
-0.521641,
-0.514034,
-0.507462,
-0.502002,
-0.49761,
-0.49421,
-0.49163,
-0.489465,
-0.487147,
-0.484244,
-0.480683,
-0.476748,
-0.472933,
-0.469659,
-0.467005,
-0.464621,
-0.461862,
-0.457965,
-0.452222,
-0.444196,
-0.433874,
-0.421722,
-0.408653,
-0.395819,
-0.384238,
-0.374542,
-0.366932,
-0.361201,
-0.356783,
-0.352916,
-0.348944,
-0.34452,
-0.339547,
-0.334041,
-0.328123,
-0.322061,
-0.316175,
-0.310733,
-0.305961,
-0.302027,
-0.298852,
-0.295997,
-0.29293,
-0.289428,
-0.285588,
-0.281484,
-0.276997,
-0.271945,
-0.266184,
-0.259594,
-0.252156,
-0.244138,
-0.236183,
-0.229122,
-0.223704,
-0.220446,
-0.219521,
-0.220552,
-0.222573,
-0.224362,
-0.224946,
-0.223847,
-0.221106,
-0.217187,
-0.212664,
-0.207857,
-0.202754,
-0.197219,
-0.191136,
-0.184434,
-0.177124,
-0.169411,
-0.161669,
-0.154312,
-0.14774,
-0.142351,
-0.138419,
-0.135935,
-0.134675,
-0.134468,
-0.135243,
-0.136806,
-0.138724,
-0.140417,
-0.141286,
-0.140824,
-0.138763,
-0.13507,
-0.129834,
-0.123287,
-0.115825,
-0.107908,
-0.099904,
-0.092024,
-0.08436,
-0.076916,
-0.069644,
-0.06259,
-0.055954,
-0.049921,
-0.044542,
-0.039818,
-0.035867,
-0.032897,
-0.031037,
-0.030278,
-0.030523,
-0.031583,
-0.033219,
-0.035272,
-0.037532,
-0.03947,
-0.040282,
-0.03922,
-0.035832,
-0.030023,
-0.022069,
-0.012555,
-0.002178,
0.008431,
0.018673,
0.027977,
0.035914,
0.042355,
0.047495,
0.051646,
0.054999,
0.057644,
0.059738,
0.061599,
0.063685,
0.066422,
0.069968,
0.074114,
0.078475,
0.082734,
0.08666,
0.090057,
0.092758,
0.094636,
