平均心率,65
分类,窦性心律
0.432442,
0.431348,
0.429423,
0.426877,
0.423581,
0.419098,
0.412911,
0.404529,
0.393531,
0.379883,
0.364244,
0.347844,
0.33205,
0.318012,
0.306511,
0.297893,
0.291972,
0.288114,
0.285579,
0.283765,
0.282074,
0.279811,
0.276436,
0.271826,
0.266282,
0.260402,
0.255013,
0.251034,
0.249187,
0.24977,
0.252677,
0.257523,
0.26392,
0.271656,
0.280821,
0.291927,
0.305912,
0.323944,
0.347098,
0.375909,
0.409899,
0.447008,
0.483091,
0.512178,
0.571849,
0.625572,
0.619096,
0.55559,
0.414414,
0.297072,
0.2081,
0.119403,
0.036003,
-0.039191,
-0.105166,
-0.162004,
-0.2098,
-0.247868,
-0.30782,
-0.325786,
-0.323084,
-0.280753,
-0.26126,
-0.235638,
-0.20715,
-0.178281,
-0.150369,
-0.123857,
-0.098714,
-0.074696,
-0.051621,
-0.02961,
-0.009079,
0.009464,
0.025571,
0.03878,
0.048589,
0.054732,
0.057352,
0.056843,
0.053817,
0.049269,
0.044595,
0.041184,
0.039936,
0.041152,
0.044603,
0.049588,
0.055162,
0.060445,
0.064825,
0.067985,
0.069933,
0.070986,
0.071544,
0.071758,
0.071519,
0.070719,
0.06947,
0.068087,
0.06688,
0.065926,
0.064894,
0.063136,
0.060041,
0.05534,
0.049272,
0.042569,
0.036305,
0.03168,
0.029731,
0.030992,
0.035201,
0.041265,
0.047636,
0.052899,
0.056214,
0.05746,
0.057117,
0.055996,
0.054853,
0.054093,
0.053846,
0.054186,
0.05512,
0.056598,
0.058657,
0.061463,
0.06503,
0.068961,
0.072535,
0.074994,
0.075707,
0.074242,
0.070574,
0.065398,
0.059999,
0.055758,
0.053856,
0.055231,
0.060406,
0.069269,
0.081178,
0.09533,
0.110905,
0.126872,
0.141911,
0.154625,
0.163848,
0.168887,
0.169711,
0.167129,
0.162763,
0.15855,
0.156169,
0.156685,
0.160375,
0.16665,
0.174207,
0.181414,
0.186836,
0.189673,
0.189872,
0.187893,
0.184394,
0.180069,
0.17555,
0.171277,
0.167509,
0.164431,
0.162175,
0.160732,
0.159863,
0.159104,
0.157944,
0.156024,
0.153164,
0.149233,
0.144099,
0.137745,
0.130336,
0.122071,
0.113011,
0.103167,
0.092736,
0.082075,
0.071438,
0.060915,
0.050635,
0.040768,
0.031212,
0.021554,
0.011406,
0.000595,
-0.010983,
-0.023416,
-0.036521,
-0.049745,
-0.062448,
-0.074214,
-0.084779,
-0.093837,
-0.101135,
-0.106777,
-0.111175,
-0.114742,
-0.117722,
-0.12022,
-0.122245,
-0.123703,
-0.124487,
-0.124586,
-0.124018,
-0.122754,
-0.120729,
-0.118013,
-0.114909,
-0.111862,
-0.109312,
-0.107687,
-0.107331,
-0.108364,
-0.110671,
-0.114017,
-0.118051,
-0.12218,
-0.125649,
-0.127915,
-0.129626,
-0.130706,
-0.130861,
-0.130479,
-0.1301,
-0.130264,
-0.131358,
-0.133664,
-0.137338,
-0.142094,
-0.147043,
-0.151044,
-0.153196,
-0.153026,
-0.150457,
-0.145866,
-0.140165,
-0.134572,
-0.130151,
-0.127515,
-0.126744,
-0.127405,
-0.12865,
-0.129549,
-0.129591,
-0.128878,
-0.127802,
-0.126736,
-0.126061,
-0.126178,
-0.127261,
-0.129058,
-0.130985,
-0.132375,
-0.132544,
-0.130801,
-0.126657,
-0.120169,
-0.112003,
-0.103152,
-0.094596,
-0.087169,
-0.081535,
-0.078114,
-0.077034,
-0.078237,
-0.081613,
-0.087029,
-0.094036,
-0.101657,
-0.108698,
-0.114237,
-0.117704,
-0.11888,
-0.118197,
-0.116925,
-0.116659,
-0.118421,
-0.122191,
-0.127056,
-0.131567,
-0.134054,
-0.133133,
-0.128386,
-0.120619,
-0.111413,
-0.102497,
-0.095395,
-0.091189,
-0.090316,
-0.09255,
-0.097236,
-0.103592,
-0.110858,
-0.118292,
-0.12513,
-0.130632,
-0.134148,
-0.13517,
-0.133436,
-0.129067,
-0.122654,
-0.115281,
-0.108291,
-0.102804,
-0.099438,
-0.098458,
-0.100109,
-0.104633,
-0.111999,
-0.121783,
-0.133203,
-0.145018,
-0.15548,
-0.162682,
-0.165179,
-0.162337,
-0.15439,
-0.14259,
-0.129264,
-0.117223,
-0.108735,
-0.104804,
-0.105183,
-0.108755,
-0.113886,
-0.118817,
-0.122225,
-0.123529,
-0.12282,
-0.120736,
-0.118366,
-0.11692,
-0.117226,
-0.119418,
-0.122984,
-0.127093,
-0.130893,
-0.133617,
-0.134696,
-0.133935,
-0.131649,
-0.12861,
-0.125785,
-0.123976,
-0.123519,
-0.124181,
-0.125374,
-0.126424,
-0.126682,
-0.125625,
-0.122968,
-0.118771,
-0.113411,
-0.107461,
-0.101702,
-0.097073,
-0.094343,
-0.093866,
-0.095653,
-0.099349,
-0.103941,
-0.10778,
-0.109212,
-0.107259,
-0.101838,
-0.093719,
-0.084409,
-0.075863,
-0.069914,
-0.067697,
-0.069413,
-0.074362,
-0.081111,
-0.087938,
-0.093452,
-0.096997,
-0.098672,
-0.099019,
-0.098672,
-0.098066,
-0.097222,
-0.095773,
-0.093205,
-0.089114,
-0.083433,
-0.076496,
-0.069133,
-0.06263,
-0.058348,
-0.057239,
-0.059557,
-0.064841,
-0.07217,
-0.080363,
-0.088182,
-0.094676,
-0.099348,
-0.102017,
-0.102729,
-0.101824,
-0.099955,
-0.097873,
-0.096249,
-0.095603,
-0.096217,
-0.098054,
-0.100792,
-0.103903,
-0.106781,
-0.108847,
-0.109691,
-0.109209,
-0.107535,
-0.104898,
-0.101558,
-0.097787,
-0.093814,
-0.089881,
-0.086428,
-0.084104,
-0.083366,
-0.084154,
-0.085982,
-0.088062,
-0.089228,
-0.088188,
-0.084209,
-0.077523,
-0.069089,
-0.060197,
-0.052318,
-0.04688,
-0.044791,
-0.046168,
-0.050556,
-0.057193,
-0.065005,
-0.072524,
-0.078215,
-0.081,
-0.080431,
-0.076564,
-0.069854,
-0.06111,
-0.051427,
-0.041948,
-0.033524,
-0.026463,
-0.020549,
-0.015279,
-0.010197,
-0.005193,
-0.000606,
0.002928,
0.00478,
0.004575,
0.002364,
-0.001353,
-0.005684,
-0.009502,
-0.011791,
-0.012033,
-0.01039,
-0.007603,
-0.004569,
-0.001934,
-0.00005,
0.000958,
0.001231,
0.001133,
0.000954,
0.000603,
-0.000401,
-0.002615,
-0.006468,
-0.012231,
-0.019902,
-0.029003,
-0.038607,
-0.047708,
-0.05557,
-0.061775,
-0.066189,
-0.068937,
-0.070301,
-0.070544,
-0.069741,
