平均心率,62
分类,窦性心律
-1.668766,
-1.665302,
-1.65039,
-1.627218,
-1.600989,
-1.578087,
-1.523192,
-1.473449,
-1.488765,
-1.605605,
-1.638625,
-1.741044,
-1.791632,
-1.790546,
-1.717325,
-1.717388,
-1.717147,
-1.651736,
-1.734076,
-1.753891,
-1.777612,
-1.799996,
-1.848654,
-1.824001,
-1.824061,
-1.820115,
-1.817266,
-1.756444,
-1.760063,
-1.852707,
-1.879392,
-1.907748,
-1.963303,
-1.983787,
-1.961609,
-1.965928,
-1.968132,
-1.972656,
-1.982997,
-2.000728,
-2.025261,
-2.054307,
-2.084918,
-2.114479,
-2.141347,
-2.164885,
-2.185196,
-2.202487,
-2.21604,
-2.223496,
-2.221274,
-2.245982,
-2.251547,
-2.201324,
-2.06662,
-1.992562,
-1.909876,
-1.822303,
-1.732934,
-1.643808,
-1.55598,
-1.469877,
-1.385818,
-1.304568,
-1.227621,
-1.156831,
-1.093763,
-1.039361,
-0.993795,
-0.956422,
-0.926048,
-0.901275,
-0.88063,
-0.862877,
-0.847434,
-0.834501,
-0.824693,
-0.818685,
-0.816888,
-0.819119,
-0.824516,
-0.831623,
-0.838733,
-0.844405,
-0.847877,
-0.848989,
-0.848194,
-0.846658,
-0.845938,
-0.84722,
-0.850948,
-0.856909,
-0.864245,
-0.871546,
-0.877351,
-0.880614,
-0.880746,
-0.877454,
-0.870747,
-0.861059,
-0.849259,
-0.836342,
-0.82329,
-0.811133,
-0.800933,
-0.793374,
-0.788504,
-0.785876,
-0.784651,
-0.783627,
-0.781596,
-0.767414,
-0.74801,
-0.727839,
-0.707535,
-0.687547,
-0.667984,
-0.648482,
-0.628076,
-0.605384,
-0.579205,
-0.548958,
-0.514561,
-0.476147,
-0.434119,
-0.389089,
-0.34164,
-0.292439,
-0.242493,
-0.193067,
-0.145359,
-0.100318,
-0.058567,
-0.02033,
0.014775,
0.047839,
0.080467,
0.114299,
0.150768,
0.191067,
0.235747,
0.284314,
0.335385,
0.387135,
0.437403,
0.483914,
0.524741,
0.558657,
0.585172,
0.604509,
0.617494,
0.62543,
0.629826,
0.631854,
0.631926,
0.629908,
0.625737,
0.619812,
0.613153,
0.607584,
0.605518,
0.609369,
0.620935,
0.640973,
0.668883,
0.702806,
0.740013,
0.777424,
0.812246,
0.842574,
0.867664,
0.887809,
0.904247,
0.918906,
0.933851,
0.95087,
0.971377,
0.996273,
1.025797,
1.059648,
1.09716,
1.137381,
1.179176,
1.221341,
1.262502,
1.301109,
1.335659,
1.364977,
1.388605,
1.407103,
1.421891,
1.434722,
1.438705,
1.44316,
1.448282,
1.453086,
1.456134,
1.455909,
1.451145,
1.441252,
1.426345,
1.406974,
1.384031,
1.358806,
1.332765,
1.30742,
1.284211,
1.264203,
1.247741,
1.234501,
1.223603,
1.213657,
1.203142,
1.190939,
1.176572,
1.160301,
1.143146,
1.126563,
1.111919,
1.100147,
1.091456,
1.085146,
1.079781,
1.079264,
1.078799,
1.07583,
1.070569,
1.063598,
1.055469,
1.046595,
1.037227,
1.027369,
1.016969,
1.006111,
0.995034,
0.984119,
0.973966,
0.965176,
0.957983,
0.952207,
0.947397,
0.943046,
0.938887,
0.934987,
0.931462,
0.928321,
0.925575,
0.923231,
0.921155,
0.9191,
0.916846,
0.914162,
0.910869,
0.906979,
0.902611,
0.897885,
0.89306,
0.888638,
0.885317,
0.883796,
0.884354,
0.886564,
0.889452,
0.891225,
0.885254,
0.877277,
0.86711,
0.855013,
0.841506,
0.827472,
0.814203,
0.802974,
0.794493,
0.788661,
0.784706,
0.781635,
0.77867,
0.775256,
0.770907,
0.765377,
0.758689,
0.750901,
0.742106,
0.732618,
0.722757,
0.712578,
0.702082,
0.691612,
0.681848,
0.67349,
0.667061,
0.662756,
0.660548,
0.660271,
0.661556,
0.663938,
0.667042,
0.670363,
0.673061,
0.674245,
0.673318,
0.670071,
0.664783,
0.658336,
0.651939,
0.646654,
0.643179,
0.64175,
0.64201,
0.642998,
0.643366,
0.641754,
0.637344,
0.630106,
0.620492,
0.609187,
0.597083,
0.584941,
0.573063,
0.561528,
0.550465,
0.539869,
0.529511,
0.519308,
0.509489,
0.500409,
0.492335,
0.485367,
0.479499,
0.474794,
0.471306,
0.468762,
0.466587,
0.464138,
0.460785,
0.456028,
0.449712,
0.441936,
0.432779,
0.422431,
0.411445,
0.400664,
0.390962,
0.383185,
0.378066,
0.376033,
0.377037,
0.38051,
0.385533,
0.391144,
0.396477,
0.400726,
0.403446,
0.404663,
0.404431,
0.402575,
0.399183,
0.394878,
0.390436,
0.385461,
0.378895,
0.374878,
0.374442,
0.378468,
0.387528,
0.401814,
0.421182,
0.445129,
0.472778,
0.502922,
0.533838,
0.562966,
0.586994,
0.602291,
0.636657,
0.631746,
0.606529,
0.558586,
0.462027,
0.395005,
0.324068,
0.254223,
0.189067,
0.130506,
0.078972,
0.033823,
-0.005966,
-0.040961,
-0.070781,
-0.09413,
-0.109371,
-0.115336,
-0.111745,
-0.099307,
-0.079801,
-0.05576,
-0.029804,
-0.00431,
0.018633,
0.037543,
0.051833,
0.061828,
0.069605,
0.076806,
0.084028,
0.092241,
0.101778,
0.112319,
0.122873,
0.13219,
0.139348,
0.14394,
0.146194,
0.147047,
0.147806,
0.1496,
0.153082,
0.158269,
0.164518,
0.170793,
0.175943,
0.178885,
0.179029,
0.176675,
0.172835,
0.16869,
0.165221,
0.162973,
0.161953,
0.161813,
0.162152,
0.162614,
0.163046,
0.163563,
0.164373,
0.165708,
0.167855,
0.170839,
0.174125,
0.176909,
0.17864,
